Food_items,Calories,Proteins,Carbohydrates,Sugars,Fibre,Fats,VitaminD,Calcium,Iron,Sodium,Potassium
Green Tea,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.02,1,0.2
Chia seeds,486,17.0,42.0,0.0,34.0,31.0,0,631.0,7.72,16,407.0
Cottage cheese with vegetables,95,11.0,3.0,0.4,0.1,4.2,0,56.0,0.1,403,86.0
Salmon,127,21.0,0.0,0.0,0.0,4.4,435,7.0,0.38,75,366.0
Cereals-Corn Flakes,384,5.9,88.0,7.8,2.7,0.9,286,2.0,19.4,571,107.0
Beans,31,1.8,7.0,3.3,2.7,0.2,0,37.0,1.03,6,211.0
Lentils,101,8.8,21.0,0.0,0.0,0.5,0,14.0,3.1,246,284.0
Pasta with corn homemade,126,2.6,28.0,0.0,4.8,0.7,0,1.0,0.25,0,31.0
Tea,1,0.0,0.2,0.0,0.0,0.0,0,2.0,0.08,1,9.0
Apples,52,0.3,14.0,10.0,24.0,0.2,0,6.0,0.12,1,107.0
Strawberries,32,0.7,7.7,4.9,2.0,0.3,0,16.0,0.41,1,153.0
Quninoa,120,4.4,21.0,0.9,2.8,1.9,0,17.0,1.49,7,172.0
Goat meat,109,21.0,57.0,0.0,0.0,2.3,0,13.0,2.83,82,385.0
Rabbit meat,114,22.0,0.0,0.0,0.0,2.3,0,12.0,3.2,50,378.0
Chicken Strips,295,19.0,22.0,0.3,1.1,15.0,0,11.0,0.72,798,334.0
Steak Fries,255,3.3,31.0,0.9,3.5,13.0,0,19.0,0.69,43,551.0
Mexican Rice,195,3.6,34.0,1.4,1.1,4.9,0,39.0,1.18,677,131.0
Fried Shrimp,319,14.0,21.0,0.8,1.5,20.0,0,47.0,1.54,1400,128.0
Spaghetti and meatballs,170,7.8,16.0,2.0,1.5,8.5,0,45.0,1.29,351,206.0
Macroni n Cheese ,194,6.5,16.0,2.8,1.1,12.0,0,145.0,57.0,375,127.0
Pork cooked,297,26.0,0.0,0.0,0.0,21.0,0,22.0,1.29,73,362.0
Bacon cooked,146,28.0,1.8,1.2,0.0,2.8,0,7.0,0.56,993,999.0
Nachos,350,4.3,35.0,2.2,3.2,22.0,0,63.0,0.75,313,362.0
Chicken Popcorn,351,18.0,21.0,0.0,1.0,22.0,0,32.0,1.42,1140,288.0
Turkey cooked,203,27.0,0.0,0.0,0.0,10.0,8,28.0,1.52,78,294.0
Oyster cooked,159,29.0,0.0,0.0,0.0,4.0,0,6.0,4.9,81,409.0
Beef sticks,550,22.0,5.4,0.0,0.0,50.0,0,68.0,3.4,1531,257.0
Banana Chips,519,2.3,58.0,35.0,7.7,34.0,0,18.0,1.25,6,536.0
Honey,304,0.3,82.0,82.0,0.2,0.0,0,6.0,0.42,4,52.0
Chocolate Icecream,216,3.8,28.0,25.0,1.2,11.0,0,109.0,0.93,76,249.0
Vanilla Ice cream,207,3.5,24.0,21.0,0.7,11.0,0,128.0,0.09,80,199.0
Strawberry Icecream,192,3.2,28.0,0.0,0.9,8.4,0,120.0,0.21,60,188.0
Marshmallows,318,1.8,81.0,58.0,0.1,0.2,0,3.0,0.23,80,5.0
Chocolate milk,535,7.7,59.0,52.0,3.4,30.0,0,189.0,2.35,79,372.0
Rice Pudding,376,2.7,91.0,0.0,0.7,0.1,0,14.0,1.79,366,5.0
